id,poilon,poilat,Taxonomy,cat
6958,-1.2905520000000053,1.582963999999997,Food,Full-Service Restaurants
6976,-1.1420559999999966,1.703755000000001,Sports,Fitness and Recreational Sports Centers
6981,-1.067255000000003,1.503306000000002,Food,Full-Service Restaurants
6985,-1.2243019999999945,1.6043499999999966,Service,Offices of Real Estate Agents and Brokers
6987,-1.301316,1.5593100000000035,Sports,Fitness and Recreational Sports Centers
6996,-1.1567519999999973,1.6525660000000002,Entertainment,Amusement and Theme Parks
7017,-1.3078720000000033,1.645304000000003,Food,Full-Service Restaurants
7019,-1.2811939999999993,1.654865000000001,Food,Full-Service Restaurants
7022,-1.2003559999999993,1.510900999999997,Service,Commercial Banking
7043,-1.4012689999999992,1.5978619999999992,City / Outdoors,Nature Parks and Other Similar Institutions
7044,-1.136815999999996,1.5040499999999994,Coffee / Tea,Snack and Nonalcoholic Beverage Bars
7064,-1.2596170000000058,1.6200350000000014,Food,Full-Service Restaurants
7066,-1.0859920000000045,1.7833400000000026,Food,Full-Service Restaurants
7070,-1.1638319999999993,1.6975139999999982,Sports,Fitness and Recreational Sports Centers
7075,-1.097198000000006,1.7594599999999971,Food,Full-Service Restaurants
7090,-1.2674659999999989,1.6582289999999986,Food,Full-Service Restaurants
7091,-1.2129989999999964,1.7038089999999997,Food,Full-Service Restaurants
7094,-1.198120000000003,1.7424290000000013,Food,Full-Service Restaurants
7097,-1.3508180000000038,1.8650049999999965,Health,Offices of Dentists
7111,-1.1066100000000034,1.6893699999999967,City / Outdoors,Nature Parks and Other Similar Institutions
7129,-1.3523160000000018,1.6479169999999996,City / Outdoors,Nature Parks and Other Similar Institutions
7131,-1.3227329999999995,1.6275109999999984,Food,Full-Service Restaurants
7138,-1.002332999999993,1.5433390000000031,Coffee / Tea,Snack and Nonalcoholic Beverage Bars
7142,-1.4043000000000063,1.5237029999999976,Sports,Fitness and Recreational Sports Centers
7148,-1.1843769999999978,1.565455,Health,Offices of Dentists
7154,-1.1176209999999998,1.714488000000003,Coffee / Tea,Snack and Nonalcoholic Beverage Bars
7161,-1.4057729999999964,1.5736520000000027,Sports,Fitness and Recreational Sports Centers
7163,-1.323684,1.6436449999999994,Coffee / Tea,Snack and Nonalcoholic Beverage Bars
7165,-1.2747710000000012,1.5672799999999967,Food,Full-Service Restaurants
7174,-1.314555999999996,1.6455339999999978,Coffee / Tea,Snack and Nonalcoholic Beverage Bars
7196,-1.4745110000000068,1.5527480000000011,Sports,Fitness and Recreational Sports Centers
7198,-1.2059780000000018,1.7296499999999995,Service,Hotels (except Casino Hotels) and Motels
7199,-1.2462009999999992,1.5396069999999966,Service,Offices of Real Estate Agents and Brokers
7202,-1.371144000000001,1.9819559999999967,Food,Full-Service Restaurants
7214,-1.3307290000000052,1.6113640000000018,Service,Commercial Banking
7219,-1.1598630000000014,1.7425369999999987,Coffee / Tea,Snack and Nonalcoholic Beverage Bars
7226,-1.2956439999999958,1.5021130000000014,City / Outdoors,Nature Parks and Other Similar Institutions
7246,-1.1644620000000003,1.6984649999999988,Food,Full-Service Restaurants
7257,-1.0905130000000014,1.7796360000000035,Food,Full-Service Restaurants
7259,-1.2174009999999953,1.7022339999999971,Food,Full-Service Restaurants
7260,-1.1845789999999994,1.7928270000000026,Service,Commercial Banking
7273,-1.0385909999999967,1.8660470000000018,Service,Commercial Banking
7277,-1.1613569999999953,1.6249460000000013,Service,Offices of Real Estate Agents and Brokers
7287,-1.2369060000000047,1.5347730000000013,Food,Full-Service Restaurants
7309,-1.3088199999999972,1.6427699999999987,Food,Full-Service Restaurants
7322,-1.3073559999999986,1.5873849999999976,Coffee / Tea,Snack and Nonalcoholic Beverage Bars
7325,-1.0891600000000068,1.777037,Food,Full-Service Restaurants
7326,-1.333956999999998,1.8762589999999975,Food,Full-Service Restaurants
7338,-1.071025000000006,1.5094229999999982,Service,Offices of Real Estate Agents and Brokers
7346,-1.1040789999999987,1.514878000000003,Health,Offices of Dentists
7348,-1.2508839999999992,1.7017719999999983,Food,Full-Service Restaurants
7361,-1.1644519999999972,1.706189000000002,Service,Commercial Banking
7397,-1.1389559999999932,1.6571890000000025,Food,Full-Service Restaurants
7399,-1.3492310000000032,1.866334000000002,Food,Full-Service Restaurants
7409,-1.2927389999999974,1.6351820000000004,Service,Offices of Real Estate Agents and Brokers
7414,-1.1688019999999995,1.7110369999999975,Sports,Fitness and Recreational Sports Centers
7415,-1.2686499999999938,1.5593689999999967,Sports,Fitness and Recreational Sports Centers
7419,-1.235286000000002,1.7937200000000004,Service,Offices of Real Estate Agents and Brokers
7421,-1.3426269999999931,1.677934999999998,Shopping,Malls
7422,-1.1389870000000002,1.5391499999999994,Coffee / Tea,Snack and Nonalcoholic Beverage Bars
7423,-1.2392169999999965,1.8756210000000024,Food,Full-Service Restaurants
7427,-1.1460500000000025,1.6753399999999985,Service,Offices of Real Estate Agents and Brokers
7436,-1.105866000000006,1.657943000000003,Service,Offices of Real Estate Agents and Brokers
7447,-1.3038159999999976,1.5167980000000014,City / Outdoors,Nature Parks and Other Similar Institutions
7457,-1.2686329999999941,1.5593310000000002,Coffee / Tea,Snack and Nonalcoholic Beverage Bars
7463,-1.3290039999999976,1.884374000000001,City / Outdoors,Nature Parks and Other Similar Institutions
7469,-1.082696999999996,1.5597709999999978,City / Outdoors,Nature Parks and Other Similar Institutions
7470,-1.0114379999999983,1.7179369999999992,Food,Full-Service Restaurants
7472,-1.4211679999999944,1.561042999999998,Service,Veterinary Services
7474,-1.0675600000000003,1.773333000000001,Sports,Fitness and Recreational Sports Centers
7478,-1.1596859999999936,1.6903580000000034,Service,Commercial Banking
7480,-1.1643799999999942,1.6983749999999986,Food,Full-Service Restaurants
7484,-1.3292440000000028,1.6551150000000021,Food,Full-Service Restaurants
7485,-1.0725960000000043,1.5751830000000027,Sports,Fitness and Recreational Sports Centers
7490,-1.4322580000000045,1.5602400000000003,Service,Offices of Real Estate Agents and Brokers
7496,-1.2836989999999986,1.5129680000000008,City / Outdoors,Nature Parks and Other Similar Institutions
7507,-1.0068040000000025,1.5493120000000005,Coffee / Tea,Snack and Nonalcoholic Beverage Bars
7517,-1.3215670000000017,1.6306560000000019,Service,Passenger Car Rental
7521,-1.2897590000000037,1.5319550000000035,City / Outdoors,Nature Parks and Other Similar Institutions
7531,-1.1886089999999996,1.5714850000000027,Service,Veterinary Services
7534,-1.420462999999998,1.6691239999999965,Food,Full-Service Restaurants
7536,-1.1535949999999957,1.7073290000000014,Food,Full-Service Restaurants
7540,-1.2894509999999997,1.5816159999999968,Coffee / Tea,Snack and Nonalcoholic Beverage Bars
7541,-1.3546740000000028,1.6353709999999992,Service,Commercial Banking
7550,-1.1932369999999963,1.516447999999997,City / Outdoors,Nature Parks and Other Similar Institutions
7556,-1.309582000000006,1.6441990000000004,Service,Commercial Banking
7566,-1.125282999999996,1.671287999999997,Arts / Museum,"Promoters of Performing Arts, Sports, and Similar Events with Facilities"
7569,-1.1674849999999992,1.7277350000000027,Health,General Medical and Surgical Hospitals
7570,-1.0240990000000068,1.6865669999999966,City / Outdoors,Nature Parks and Other Similar Institutions
7576,-1.3022569999999973,1.6549630000000022,Service,Offices of Real Estate Agents and Brokers
7578,-1.3909359999999964,1.8362049999999996,Health,Offices of Dentists
7583,-1.1393439999999941,1.5386359999999968,Arts / Museum,"Promoters of Performing Arts, Sports, and Similar Events with Facilities"
7588,-1.116847000000007,1.5912659999999974,Service,Commercial Banking
7590,-1.354618000000002,1.5961670000000012,Food,Full-Service Restaurants
7592,-1.438208000000003,1.9590359999999976,Service,Hotels (except Casino Hotels) and Motels
7596,-1.0702189999999945,1.5028050000000022,Coffee / Tea,Snack and Nonalcoholic Beverage Bars
7610,-1.1063759999999974,1.6581899999999976,Health,Offices of Dentists
7614,-1.1605100000000022,1.710002000000003,City / Outdoors,Nature Parks and Other Similar Institutions
7618,-1.3766530000000046,1.6331810000000004,Food,Full-Service Restaurants
7621,-1.4627030000000047,1.9749449999999982,Service,Commercial Banking
7634,-1.3109039999999936,1.6488439999999969,Health,Offices of Dentists
7635,-1.1599640000000022,1.7082660000000018,Service,Parking Lots and Garages
7638,-1.0897480000000002,1.7780619999999985,Sports,Fitness and Recreational Sports Centers
7640,-1.3142469999999946,1.6459159999999997,Food,Full-Service Restaurants
7641,-1.1479590000000002,1.7031720000000021,Sports,Fitness and Recreational Sports Centers
7642,-1.2050660000000022,1.5916789999999992,Food,Full-Service Restaurants
