Taxonomy_a,Taxonomy_b,cat_a,cat_b,dep,dep_count,prod,dep_avg
Arts / Museum,Service,Museums,All Other Automotive Repair and Maintenance,0.0181287422636215,1,187146,0.0009686951505039649
Arts / Museum,Service,Museums,Beauty Salons,0.0792689340767039,2,187146,0.004235673435537169
Arts / Museum,Service,Museums,Commercial Banking,0.6665707726262833,43,187146,0.03561768740054734
Arts / Museum,Service,Museums,Diet and Weight Reducing Centers,0.0098318040836126,1,187146,0.000525354754235335
Arts / Museum,Service,Museums,Drycleaning and Laundry Services (except Coin-Operated),0.1057005624555965,4,187146,0.0056480268055740706
Arts / Museum,Service,Museums,Gasoline Stations with Convenience Stores,0.1001797743383541,10,187146,0.00535302781455944
Arts / Museum,Service,Museums,General Automotive Repair,0.0015120043264377,1,187146,8.079276748836202e-05
Arts / Museum,Service,Museums,"Hair, Nail, and Skin Care Services",0.35533039786372617,22,187146,0.018986801634217464
Arts / Museum,Service,Museums,Hotels (except Casino Hotels) and Motels,0.0322854665312623,4,187146,0.0017251486289454382
Arts / Museum,Service,Museums,Offices of Real Estate Agents and Brokers,0.0326591803962247,5,187146,0.0017451177367523057
Arts / Museum,Service,Museums,Other Gasoline Stations,0.33940000776501933,22,187146,0.018135573710633374
Arts / Museum,Service,Museums,Other Personal Care Services,0.1572559048148334,12,187146,0.008402846163681478
Arts / Museum,Service,Museums,Passenger Car Rental,0.0328942487775262,2,187146,0.0017576784316804099
Arts / Museum,Service,Museums,Veterinary Services,0.032007853189955804,2,187146,0.001710314577386415
Arts / Museum,Service,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",All Other Automotive Repair and Maintenance,0.0027010838999483,1,187146,0.0001443303036104592
Arts / Museum,Service,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Automotive Glass Replacement Shops,0.0001554385250518,1,187146,8.305735898806281e-06
Arts / Museum,Service,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Automotive Oil Change and Lubrication Shops,0.0272931647116133,8,187146,0.0014583888895094365
Arts / Museum,Service,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Beauty Salons,0.1637003797824512,43,187146,0.008747201638424075
Arts / Museum,Service,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Car Washes,0.0070619864728375,4,187146,0.00037735171859604264
Arts / Museum,Service,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Commercial Banking,1.3744783736330586,199,187146,0.07344417586446189
Arts / Museum,Service,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Diet and Weight Reducing Centers,0.0376232097392734,9,187146,0.0020103667585346947
Arts / Museum,Service,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Drycleaning and Laundry Services (except Coin-Operated),0.0845084212640483,34,187146,0.004515641331583272
Arts / Museum,Service,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Gasoline Stations with Convenience Stores,0.1983323275865741,52,187146,0.010597732657207426
Arts / Museum,Service,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",General Automotive Repair,0.044077391600667995,7,187146,0.00235524091354707
Arts / Museum,Service,"Promoters of Performing Arts, Sports, and Similar Events with Facilities","Hair, Nail, and Skin Care Services",0.8908604676663412,223,187146,0.04760243166652459
Arts / Museum,Service,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Hotels (except Casino Hotels) and Motels,0.22010852257738028,26,187146,0.011761326588726462
Arts / Museum,Service,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Offices of Real Estate Agents and Brokers,0.1998838942254913,60,187146,0.010680639405891191
Arts / Museum,Service,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Other Gasoline Stations,0.7583771510941626,63,187146,0.04052328936200413
Arts / Museum,Service,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Other Personal Care Services,0.47745661538929385,76,187146,0.025512520459389666
Arts / Museum,Service,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Parking Lots and Garages,0.0017110684318934,1,187146,9.142960212312313e-05
Arts / Museum,Service,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Passenger Car Rental,0.021738620056381046,12,187146,0.0011615861443141208
Arts / Museum,Service,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Veterinary Services,0.0575085522159943,15,187146,0.0030729244662453005
Arts / Museum,Shopping,Art Dealers,All Other General Merchandise Stores,0.1970467676089766,11,120250,0.016386425580788077
Arts / Museum,Shopping,Art Dealers,All Other Health and Personal Care Stores,0.025773138033550202,2,120250,0.002143296302166337
Arts / Museum,Shopping,Art Dealers,All Other Home Furnishings Stores,0.1023568000297815,6,120250,0.00851200000247663
Arts / Museum,Shopping,Art Dealers,All Other Miscellaneous Store Retailers (except Tobacco Stores),0.0573567430331841,4,120250,0.00476979152043111
Arts / Museum,Shopping,Art Dealers,All Other Specialty Food Stores,0.019603538302358302,2,120250,0.0016302318754559918
Arts / Museum,Shopping,Art Dealers,Automotive Parts and Accessories Stores,0.0237747545636518,6,120250,0.0019771105666238505
Arts / Museum,Shopping,Art Dealers,"Beer, Wine, and Liquor Stores",0.0636724158234705,8,120250,0.005295003394883201
Arts / Museum,Shopping,Art Dealers,Book Stores,0.1017997205197584,2,120250,0.008465673224096333
Arts / Museum,Shopping,Art Dealers,Children's and Infants' Clothing Stores,0.0008450536786685,1,120250,7.027473419280666e-05
Arts / Museum,Shopping,Art Dealers,Clothing Accessories Stores,0.0007401780647075,1,120250,6.15532694143451e-05
Arts / Museum,Shopping,Art Dealers,"Cosmetics, Beauty Supplies, and Perfume Stores",0.025857776840266397,4,120250,0.0021503348723714262
Arts / Museum,Shopping,Art Dealers,Department Stores,0.0071417277440555,3,120250,0.0005939066731023285
Arts / Museum,Shopping,Art Dealers,Electronics Stores,0.1674890985115223,18,120250,0.013928407360625556
Arts / Museum,Shopping,Art Dealers,Family Clothing Stores,0.0524168214908478,5,120250,0.004358987234166138
Arts / Museum,Shopping,Art Dealers,Fish and Seafood Markets,0.0006865073691319,1,120250,5.709000990701872e-05
Arts / Museum,Shopping,Art Dealers,Food (Health) Supplement Stores,0.0443217549443717,4,120250,0.003685800826974777
Arts / Museum,Shopping,Art Dealers,Fruit and Vegetable Markets,0.0097066224366045,3,120250,0.0008072035290315593
Arts / Museum,Shopping,Art Dealers,Furniture Stores,0.0578520970642699,5,120250,0.004810985202849887
Arts / Museum,Shopping,Art Dealers,"Gift, Novelty, and Souvenir Stores",0.0620201601551853,7,120250,0.005157601676106885
Arts / Museum,Shopping,Art Dealers,"Hobby, Toy, and Game Stores",0.0729549240163964,7,120250,0.006066937548141074
Arts / Museum,Shopping,Art Dealers,Household Appliance Stores,0.0009095890196098,1,120250,7.564149851224948e-05
Arts / Museum,Shopping,Art Dealers,Jewelry Stores,0.0866123910254237,9,120250,0.0072026936403678755
Arts / Museum,Shopping,Art Dealers,Malls,0.152384967329221,20,120250,0.012672346555444573
Arts / Museum,Shopping,Art Dealers,Meat Markets,0.0005667022575419,1,120250,4.712700686419127e-05
Arts / Museum,Shopping,Art Dealers,Men's Clothing Stores,0.0006865073691319,1,120250,5.709000990701872e-05
Arts / Museum,Shopping,Art Dealers,Musical Instrument and Supplies Stores,0.0444972845096991,4,120250,0.003700397880224458
Arts / Museum,Shopping,Art Dealers,"Nursery, Garden Center, and Farm Supply Stores",0.0157014836658711,1,120250,0.0013057366873905282
Arts / Museum,Shopping,Art Dealers,Office Supplies and Stationery Stores,0.0004860237328115,1,120250,4.041777403837838e-05
Arts / Museum,Shopping,Art Dealers,Optical Goods Stores,0.0485915575687575,5,120250,0.004040877968295842
Arts / Museum,Shopping,Art Dealers,Pet and Pet Supplies Stores,0.0406205717391857,5,120250,0.003378010123840807
Arts / Museum,Shopping,Art Dealers,Pharmacies and Drug Stores,0.3395272953271264,26,120250,0.028235118114521944
Arts / Museum,Shopping,Art Dealers,Shoe Stores,0.020052772361099,5,120250,0.0016675902171392103
Arts / Museum,Shopping,Art Dealers,Sporting Goods Stores,0.030649819930062498,3,120250,0.0025488415742255716
Arts / Museum,Shopping,Art Dealers,Tire Dealers,0.011221753285250201,2,120250,0.0009332019364033431
Arts / Museum,Shopping,Art Dealers,Tobacco Stores,0.0006865073691319,1,120250,5.709000990701872e-05
Arts / Museum,Shopping,Art Dealers,Used Merchandise Stores,0.0334640152890096,3,120250,0.0027828702943043324
Arts / Museum,Shopping,Art Dealers,Warehouse Clubs and Supercenters,0.1262917478518079,7,120250,0.0105024322537886
Arts / Museum,Shopping,Museums,All Other General Merchandise Stores,0.0564186424533955,5,120250,0.004691778998203368
Arts / Museum,Shopping,Museums,All Other Home Furnishings Stores,0.0433317155425531,1,120250,0.003603469067987784
Arts / Museum,Shopping,Museums,All Other Miscellaneous Store Retailers (except Tobacco Stores),0.0076173257110392,1,120250,0.0006334574395874595
Arts / Museum,Shopping,Museums,Automotive Parts and Accessories Stores,0.0043935062490317,2,120250,0.0003653643450338212
Arts / Museum,Shopping,Museums,"Beer, Wine, and Liquor Stores",0.1423665240753784,8,120250,0.011839211981320449
Arts / Museum,Shopping,Museums,Book Stores,0.0099949712411947,2,120250,0.0008311826396003909
Arts / Museum,Shopping,Museums,Confectionery and Nut Stores,0.003880313592709,1,120250,0.00032268720105688153
Arts / Museum,Shopping,Museums,"Cosmetics, Beauty Supplies, and Perfume Stores",0.0413759734434684,3,120250,0.003440829392388224
Arts / Museum,Shopping,Museums,Department Stores,0.0006812308255836,1,120250,5.665121210674428e-05
Arts / Museum,Shopping,Museums,Electronics Stores,0.0190319695888162,2,120250,0.001582700173706129
Arts / Museum,Shopping,Museums,Family Clothing Stores,0.0462164022555358,5,120250,0.003843359854930212
Arts / Museum,Shopping,Museums,Fish and Seafood Markets,0.0042543439690067,1,120250,0.0003537915982541954
Arts / Museum,Shopping,Museums,Furniture Stores,0.080817415072118,4,120250,0.006720782958180291
Arts / Museum,Shopping,Museums,"Gift, Novelty, and Souvenir Stores",0.0510675134978245,5,120250,0.004246778669257755
Arts / Museum,Shopping,Museums,"Hobby, Toy, and Game Stores",0.021675190533699498,4,120250,0.0018025106472930976
Arts / Museum,Shopping,Museums,Household Appliance Stores,0.0068976219740468,1,120250,0.0005736068169685489
Arts / Museum,Shopping,Museums,Jewelry Stores,0.1433481531976207,7,120250,0.011920844340758479
Arts / Museum,Shopping,Museums,Malls,0.06825319223649069,7,120250,0.005675941142327708
Arts / Museum,Shopping,Museums,Musical Instrument and Supplies Stores,0.0085700390593687,2,120250,0.000712685160862262
Arts / Museum,Shopping,Museums,"Nursery, Garden Center, and Farm Supply Stores",0.0135245620816735,1,120250,0.0011247037074156756
Arts / Museum,Shopping,Museums,Optical Goods Stores,0.026993853056438,1,120250,0.002244811064984449
Arts / Museum,Shopping,Museums,Pet and Pet Supplies Stores,0.09120733549084681,5,120250,0.007584809604228425
Arts / Museum,Shopping,Museums,Pharmacies and Drug Stores,0.2226126505159191,20,120250,0.018512486529390363
Arts / Museum,Shopping,Museums,Shoe Stores,0.0423194635121251,3,120250,0.0035192901049584282
Arts / Museum,Shopping,Museums,Sporting Goods Stores,0.0057076590158561,3,120250,0.00047464939840799166
Arts / Museum,Shopping,Museums,Tobacco Stores,0.0054277322135044,2,120250,0.0004513706622456881
Arts / Museum,Shopping,Museums,Used Merchandise Stores,0.0420035833853191,3,120250,0.0034930214873446237
Arts / Museum,Shopping,Museums,Warehouse Clubs and Supercenters,0.059561614926797804,4,120250,0.004953148850461356
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",All Other General Merchandise Stores,0.108805126963061,27,120250,0.009048243406491558
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",All Other Home Furnishings Stores,0.1107184181638441,19,120250,0.009207352861858137
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",All Other Miscellaneous Store Retailers (except Tobacco Stores),0.0714257023492538,10,120250,0.005939767347131294
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",All Other Specialty Food Stores,0.0027896934891915998,2,120250,0.00023199114255231598
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Automotive Parts and Accessories Stores,0.0915536942151542,16,120250,0.007613612824545048
